time,received_at,cloud_event_id,TRACKS.MUNIC.MDI_CC_DASHBOARD_FUEL_LEVEL_PERCENT (%),TRACKS.MUNIC.MDI_DASHBOARD_FUEL_LEVEL (%),speed_kmh,fuel_value
2025-07-01 06:29:51.000,2025-07-01 06:31:02,2051213728635945192,,77.0,17.0,77.0
2025-07-01 06:44:59.000,2025-07-01 06:46:17,2051217565933371624,,77.0,12.0,77.0
2025-07-01 07:33:20.000,2025-07-01 07:33:42,2051229500590866664,,78.0,36.0,1054710.0
2025-07-01 07:50:27.000,2025-07-01 07:51:01,2051233854911578344,,76.0,53.0,76.0
2025-07-01 07:57:30.000,2025-07-01 07:58:07,2051235643417460968,,77.0,24.0,1055740.0
2025-07-01 08:43:19.000,2025-07-01 08:44:37,2051247344506126568,,74.0,71.0,74.0
2025-07-01 09:21:09.000,2025-07-01 09:22:13,2051256805870452968,,70.0,90.0,1057300.0
2025-07-01 09:31:10.000,2025-07-01 09:32:23,2051259365037506792,,76.0,22.0,1058010.0
2025-07-01 11:54:12.000,2025-07-01 11:54:42,2051295179777278184,,70.0,7.0,1059380.0
2025-07-01 12:22:24.000,2025-07-01 12:23:12,2051302353977557224,,68.0,8.0,1060040.0
2025-07-01 12:36:31.000,2025-07-01 12:37:38,2051305986769191144,,68.0,25.0,68.0
2025-07-01 13:14:24.000,2025-07-01 13:14:58,2051315380509704424,,68.0,41.0,1061140.0
2025-07-01 13:20:26.000,2025-07-01 13:21:05,2051316921902694632,,66.0,0.0,66.0
2025-07-01 13:39:33.000,2025-07-01 13:39:58,2051321672212005096,,62.0,0.0,62.0
2025-07-01 15:21:45.000,2025-07-01 15:22:15,2051347412853604584,,60.0,0.0,1063730.0
2025-07-01 15:26:47.001,2025-07-01 15:27:21,2051348695840751848,,53.0,25.35203442251539,1063960.0
2025-07-01 15:50:47.000,2025-07-01 15:51:40,2051354817800552680,,56.99999999999999,14.0,1064320.0
2025-07-02 05:07:55.000,2025-07-02 05:08:53,2051555443042222312,,61.0,28.16337113472069,61.0
2025-07-02 05:08:55.000,2025-07-02 05:09:55,2051555702736535784,,53.0,32.6341002673054,1064690.0
2025-07-02 05:18:58.000,2025-07-02 05:20:04,2051558257108992232,,51.0,64.0,1065540.0
2025-07-02 08:15:50.000,2025-07-02 08:17:13,2051602837313421544,,55.00000000000001,34.0,1065970.0
2025-07-02 08:22:53.000,2025-07-02 08:23:19,2051604374509240552,,44.0,31.0,44.0
2025-07-02 08:28:55.000,2025-07-02 08:29:26,2051605911914578152,,55.00000000000001,42.0,1066260.0
2025-07-02 08:34:56.000,2025-07-02 08:35:31,2051607444215628008,,51.0,37.0,1066440.0
2025-07-02 08:35:56.000,2025-07-02 08:36:32,2051607698688262376,,51.0,50.444788779346496,51.0
2025-07-02 09:30:53.000,2025-07-02 09:32:51,2051621873779523816,,62.0,45.446239513047345,1066710.0
2025-07-02 09:55:40.000,2025-07-02 09:56:45,2051627885667647720,,53.0,24.974226326804004,1067180.0
2025-07-02 15:41:20.000,2025-07-02 15:42:25,2051714877701505256,,50.0,13.0,1068880.0
2025-07-02 15:46:22.000,2025-07-02 15:47:30,2051716153990234344,,40.0,28.0,1069010.0
2025-07-02 15:54:27.000,2025-07-02 15:55:37,2051718198537289960,,56.99999999999999,26.0,1069200.0
2025-07-02 15:58:29.000,2025-07-02 15:59:43,2051719229870194920,,43.0,0.4759641205775772,1069280.0
2025-07-03 06:04:14.000,2025-07-03 06:04:40,2051931869638131944,,35.0,4.52258514572157,1070820.0
2025-07-03 06:18:18.000,2025-07-03 06:18:57,2051935461110776040,,48.0,36.0,1071320.0
2025-07-03 06:23:20.000,2025-07-03 06:23:59,2051936730260537576,,46.0,64.0,1071530.0
2025-07-03 06:29:22.000,2025-07-03 06:30:03,2051938258082234600,,42.0,63.0,1071920.0
2025-07-03 06:41:39.000,2025-07-03 06:45:59,2051942264346771688,,28.999999999999996,0.135196034249662,28.999999999999996
2025-07-03 07:04:40.002,2025-07-03 07:05:06,2051947077521965288,,42.0,30.000000000000004,1072460.0
2025-07-03 10:23:00.002,2025-07-03 10:24:37,2051997285084627176,,39.0,26.848450801607537,1073400.0
2025-07-03 15:30:55.000,2025-07-03 15:32:17,2052074714913865960,,32.0,89.0,1074470.0
2025-07-03 15:52:04.000,2025-07-03 15:52:38,2052079833634373864,,44.0,8.0,1074970.0
2025-07-03 16:07:11.000,2025-07-03 16:07:54,2052083676887728360,,10.0,42.04041065023736,1075370.0
2025-07-03 16:26:27.000,2025-07-03 16:28:13,2052088790861070568,,26.0,15.792008000642028,1075610.0
2025-07-03 16:30:30.000,2025-07-03 16:31:16,2052089556341932264,,37.0,11.586114935149116,1075680.0
2025-07-04 03:54:09.000,2025-07-04 03:54:33,2052261510269026536,,28.999999999999996,0.0,1076060.0
2025-07-04 04:05:13.000,2025-07-04 04:05:43,2052264320431587560,,22.0,118.0,1076760.0
2025-07-04 14:03:45.000,2025-07-04 14:04:22,2052414977767407848,,22.0,11.0,22.0
2025-07-04 14:09:48.000,2025-07-04 14:10:45,2052416584454750440,,28.000000000000004,122.73207109212468,1078610.0
2025-07-04 14:16:51.000,2025-07-04 14:17:32,2052418292311769320,,24.0,9.0,1079060.0
2025-07-04 14:39:58.000,2025-07-04 14:40:53,2052424164781949160,,11.0,64.0,1079510.0
2025-07-04 14:44:59.000,2025-07-04 14:45:58,2052425444409589992,,21.0,29.0,1079810.0
2025-07-05 07:01:36.000,2025-07-05 07:02:43,2052671253113766120,,18.0,69.0,1080050.0
2025-07-05 07:07:39.000,2025-07-05 07:08:03,2052672594716508392,,30.0,13.930747529122709,30.0
2025-07-05 08:52:50.000,2025-07-05 08:53:24,2052699106035728616,,15.0,80.0,1081080.0
2025-07-06 12:30:37.000,2025-07-06 12:31:37,2053116412695888104,,0.0,66.0,0.0
2025-07-06 12:40:40.000,2025-07-06 12:41:52,2053118991668396264,,0.0,38.34566971423633,1082790.0
2025-07-06 12:49:45.000,2025-07-06 12:50:56,2053121271306191080,,15.0,18.0,1083040.0
2025-07-06 14:36:12.000,2025-07-06 14:37:01,2053147967275286760,,26.0,45.0,26.0
2025-07-06 14:49:18.000,2025-07-06 14:50:13,2053151289033916648,,22.0,112.0,22.0
2025-07-06 14:55:21.000,2025-07-06 14:56:20,2053152832038699240,,0.0,30.000000000000004,1084500.0
2025-07-06 15:01:24.000,2025-07-06 15:02:25,2053154361031770344,,24.0,39.0,1084760.0
2025-07-06 15:48:09.000,2025-07-06 15:48:57,2053166073838289128,,4.0,24.35195416916172,1085220.0
2025-07-07 04:27:15.002,2025-07-07 04:28:06,2053357118224171240,,0.0,95.0,0.0
2025-07-07 06:45:36.000,2025-07-07 06:46:58,2053392065194098920,,22.0,22.0,1087180.0
2025-07-07 06:53:41.000,2025-07-07 06:54:04,2053393852597141736,,20.0,0.0,1087310.0
2025-07-07 07:00:44.000,2025-07-07 07:01:13,2053395652205740264,,4.0,0.0,4.0
2025-07-07 07:42:02.000,2025-07-07 07:43:46,2053406357727019240,,13.0,46.81486785976652,1087420.0
2025-07-07 07:47:06.000,2025-07-07 07:47:45,2053407361779417320,,11.0,0.0,11.0
2025-07-07 08:10:18.000,2025-07-07 08:10:40,2053413129140191464,,11.0,17.0,1087860.0
