time,received_at,cloud_event_id,TRACKS.MUNIC.MDI_DASHBOARD_FUEL (l),speed_kmh,fuel_value
2025-07-01 05:14:39.000,2025-07-01 05:15:28,2051194711460413702,,24.20194213115867,714330.0
2025-07-01 05:43:46.000,2025-07-01 05:44:55,2051202121851748614,,3.0,715110.0
2025-07-01 13:36:54.000,2025-07-01 13:37:27,2051321040000368902,,13.0,715390.0
2025-07-01 13:46:56.000,2025-07-01 13:47:37,2051323597636632838,,32.0,715670.0
2025-07-01 13:52:59.000,2025-07-01 13:53:52,2051325170563449094,,48.0,715880.0
2025-07-01 13:57:59.000,2025-07-01 13:58:54,2051326438652608774,,9.0,716030.0
2025-07-01 14:08:03.000,2025-07-01 14:09:04,2051328995877798150,,26.422490693697643,716320.0
2025-07-01 14:09:03.000,2025-07-01 14:10:05,2051329252200022278,,17.0,716360.0
2025-07-01 14:14:04.000,2025-07-01 14:15:10,2051330529642512646,,35.0,716510.0
2025-07-01 14:20:06.000,2025-07-01 14:21:34,2051332140930449670,,11.0,716660.0
2025-07-01 14:22:06.000,2025-07-01 14:23:16,2051332570070712582,,24.86866230006112,716710.0
2025-07-01 14:35:09.000,2025-07-01 14:36:18,2051335850012229894,,0.0,716880.0
2025-07-01 14:51:15.000,2025-07-01 14:51:44,2051339731899564294,,17.0,717160.0
2025-07-02 04:58:12.000,2025-07-02 04:59:09,2051552991852429574,,26.0,717640.0
2025-07-02 05:04:15.000,2025-07-02 05:05:14,2051554522890780934,,45.0,717790.0
2025-07-02 05:09:16.000,2025-07-02 05:10:19,2051555803747516678,,5.0,717920.0
2025-07-02 05:12:18.000,2025-07-02 05:13:20,2051556562052415750,,48.163124201324806,718010.0
2025-07-02 05:38:06.000,2025-07-02 05:39:11,2051563066272792838,,0.0,718380.0
2025-07-02 06:39:17.000,2025-07-02 06:40:13,2051578428112568582,47.0,1.0,718420.0
2025-07-02 14:53:32.000,2025-07-02 14:54:30,2051702817047019782,,25.0,718640.0
2025-07-02 15:04:36.000,2025-07-02 15:05:40,2051705627264205062,,8.0,718790.0
2025-07-02 15:32:45.000,2025-07-02 15:33:28,2051712624881746182,,20.0,719320.0
2025-07-02 15:37:46.000,2025-07-02 15:39:05,2051714038919856390,,19.0,719390.0
2025-07-02 15:42:47.000,2025-07-02 15:43:10,2051715063508795654,,6.0,719480.0
2025-07-02 15:45:48.000,2025-07-02 15:46:12,2051715828386185478,,7.508009902029176,719540.0
2025-07-02 15:47:48.000,2025-07-02 15:48:12,2051716333724369158,,24.0,719580.0
2025-07-03 05:46:40.000,2025-07-03 05:47:13,2051927475734331654,,26.0,720140.0
2025-07-03 06:05:47.000,2025-07-03 06:06:30,2051932329357721862,,21.26652138751875,720650.0
2025-07-03 07:43:39.000,2025-07-03 07:44:42,2051957042020647174,,0.0,720710.0
2025-07-03 12:42:20.000,2025-07-03 12:42:44,2052032045395542278,,30.106119626883643,721230.0
2025-07-03 12:47:22.000,2025-07-03 12:47:49,2052033324951748870,,20.522017198911023,721370.0
2025-07-03 12:48:22.000,2025-07-03 12:48:50,2052033581018087686,,7.0,721380.0
2025-07-03 12:55:26.000,2025-07-03 12:55:56,2052035367389069574,,0.0,721540.0
2025-07-03 13:19:37.000,2025-07-03 13:20:34,2052041567677513990,,11.0,722190.0
2025-07-03 13:24:38.000,2025-07-03 13:25:38,2052042841361809670,,18.0,722270.0
2025-07-03 13:29:39.000,2025-07-03 13:30:43,2052044120754536710,,39.0,722390.0
2025-07-03 13:34:40.000,2025-07-03 13:35:47,2052045397202845958,,47.0,722520.0
2025-07-03 13:36:41.000,2025-07-03 13:37:51,2052045913584730374,,3.135436794310655,722580.0
2025-07-03 14:39:55.000,2025-07-03 14:40:42,2052061734239338758,,0.0,723120.0
2025-07-03 14:44:56.000,2025-07-03 14:45:47,2052063011891396870,,6.0,723200.0
2025-07-03 14:46:57.000,2025-07-03 14:47:49,2052063524716364038,,1.3556643434349671,723230.0
2025-07-03 14:49:57.000,2025-07-03 14:50:52,2052064290118123782,,7.0,723260.0
2025-07-03 15:06:01.000,2025-07-03 15:07:08,2052068384035569926,,32.0,723460.0
2025-07-03 15:17:06.000,2025-07-03 15:18:16,2052071187583893766,,44.0,723630.0
2025-07-03 15:22:07.000,2025-07-03 15:23:20,2052072462757675270,,7.0,723730.0
2025-07-03 15:36:15.000,2025-07-03 15:37:20,2052075985980883206,,0.0,723810.0
2025-07-04 04:50:38.000,2025-07-04 04:51:35,2052275862283256070,,47.0,723980.0
2025-07-04 05:10:43.000,2025-07-04 05:11:49,2052280956127068422,,45.21288745393149,724560.0
2025-07-04 09:15:22.000,2025-07-04 09:16:41,2052342580272333062,,4.157741053294401,724730.0
2025-07-04 09:17:23.000,2025-07-04 09:18:45,2052343097773326598,,14.0,724790.0
2025-07-04 09:58:06.000,2025-07-04 09:59:04,2052353246537793798,,29.0,724910.0
2025-07-04 10:19:12.000,2025-07-04 10:20:20,2052358597760844038,,38.0,725430.0
2025-07-04 10:24:13.000,2025-07-04 10:25:24,2052359872913113350,,20.0,725540.0
2025-07-04 10:29:15.000,2025-07-04 10:30:29,2052361151731237126,,28.0,725650.0
2025-07-04 10:34:15.000,2025-07-04 10:35:34,2052362430821957894,,0.0,725820.0
2025-07-04 10:40:17.000,2025-07-04 10:40:39,2052363711288606982,,0.2870600727218851,726010.0
2025-07-04 11:11:28.000,2025-07-04 11:12:00,2052371598173913350,,3.0,726250.0
2025-07-06 11:30:23.000,2025-07-06 11:31:28,2053101274437533958,,0.0,726330.0
2025-07-07 04:58:12.000,2025-07-07 04:59:12,2053364944157622534,,0.774136196114503,726660.0
2025-07-07 05:03:12.000,2025-07-07 05:04:16,2053366219599266054,,23.0,726710.0
2025-07-07 11:40:43.000,2025-07-07 11:41:48,2053466261194572038,,0.0,727120.0
2025-07-07 14:16:38.000,2025-07-07 14:17:47,2053505516365185286,,10.0,727440.0
2025-07-07 14:35:47.000,2025-07-07 14:37:06,2053510376468840710,,13.0,727720.0
2025-07-08 05:02:42.000,2025-07-08 05:03:45,2053728476577415430,,34.0,728030.0
2025-07-08 05:14:47.000,2025-07-08 05:15:56,2053731541749645574,,27.0,728190.0
2025-07-08 14:15:20.000,2025-07-08 14:16:21,2053867544003035398,,1.0,728350.0
