time,received_at,cloud_event_id,TRACKS.MUNIC.MDI_CC_DASHBOARD_FUEL_LEVEL_PERCENT (%),TRACKS.MUNIC.MDI_DASHBOARD_FUEL (l),speed_kmh,fuel_value
2025-07-01 04:26:07.000,2025-07-01 04:26:35,2051182409130868972,,,110.0,1489080.0
2025-07-01 05:30:33.000,2025-07-01 05:31:04,2051198638159495404,,,0.0,1490260.0
2025-07-01 14:37:08.000,2025-07-01 14:38:10,2051336319681986796,,,58.99177094458198,1491080.0
2025-07-01 14:55:13.000,2025-07-01 14:56:28,2051340923152908524,,,77.0,1492560.0
2025-07-02 04:23:00.000,2025-07-02 04:23:34,2051544039697793260,,,103.0,1493660.0
2025-07-02 14:58:18.000,2025-07-02 14:59:05,2051703969734197484,,,121.0,1495660.0
2025-07-03 04:28:48.000,2025-07-03 04:29:56,2051908026792902892,,,79.0,1497130.0
2025-07-03 09:26:44.000,2025-07-03 09:27:22,2051982879449432300,,,20.0,1499500.0
2025-07-03 09:32:47.000,2025-07-03 09:33:28,2051984414757683436,,,25.0,1499720.0
2025-07-03 14:43:15.000,2025-07-03 14:43:55,2052062543777677548,,,12.0,1499980.0
2025-07-03 14:49:17.000,2025-07-03 14:50:02,2052064080369484012,,,12.126899072147763,1500290.0
2025-07-03 15:02:23.000,2025-07-03 15:03:15,2052067408776052972,,,101.0,1500760.0
2025-07-04 04:18:54.000,2025-07-04 04:19:50,2052267874914975980,,,107.0,1501700.0
2025-07-04 04:19:54.000,2025-07-04 04:20:51,2052268130897543404,,,109.79214381400978,1501800.0
2025-07-04 04:22:55.000,2025-07-04 04:23:54,2052268899629662444,,,104.4120824510609,1502150.0
2025-07-04 04:28:57.000,2025-07-04 04:30:00,2052270434518352108,,,104.39356244636916,1502710.0
2025-07-04 04:29:57.000,2025-07-04 04:31:01,2052270690240856300,,,95.0,1502800.0
2025-07-04 04:32:58.000,2025-07-04 04:34:05,2052271461166760172,,,56.74529437547458,1502970.0
2025-07-04 10:22:24.000,2025-07-04 10:23:15,2052359329088061676,,,115.0,1504620.0
2025-07-04 10:28:26.000,2025-07-04 10:28:56,2052360761078186220,,,0.0,1505250.0
2025-07-07 04:29:48.000,2025-07-07 04:30:31,2053357726909890796,,,96.0,1506590.0
2025-07-07 05:23:03.000,2025-07-07 05:24:04,2053371202411495660,,,52.0,1507140.0
2025-07-07 05:30:06.000,2025-07-07 05:31:10,2053372988157575404,,,41.0,1507380.0
2025-07-07 14:57:55.000,2025-07-07 14:59:03,2053515900610429164,,,99.0,1507930.0
2025-07-08 04:30:01.000,2025-07-08 04:30:28,2053720100397711596,,,44.60172729910425,1510400.0
2025-07-08 04:33:03.000,2025-07-08 04:33:32,2053720872300511468,,,9.73226246550649,1510570.0
2025-07-08 05:37:19.000,2025-07-08 05:38:08,2053737129695330540,,,28.511547222925294,1510930.0
2025-07-08 14:25:12.000,2025-07-08 14:25:54,2053869949339893996,,,50.0,1511360.0
2025-07-08 14:37:16.000,2025-07-08 14:38:08,2053873024184385772,,,96.0,1512050.0
2025-07-09 04:00:41.000,2025-07-09 04:01:08,2054075106736799980,,,80.0,1513600.0
2025-07-09 05:19:26.000,2025-07-09 05:20:00,2054094955240325356,,,34.36572070598258,1514650.0
2025-07-09 05:24:29.000,2025-07-09 05:25:06,2054096239854665964,,,27.0,1514800.0
