time,received_at,cloud_event_id,TRACKS.MUNIC.MDI_DASHBOARD_FUEL_LEVEL (%),speed_kmh,fuel_value
2025-07-07 04:15:34.000,2025-07-07 04:16:23,2053354171465269484,98.0,64.0,2017150.0
2025-07-07 04:20:35.000,2025-07-07 04:21:21,2053355418922598636,98.0,125.0,2017850.0
2025-07-07 04:24:36.000,2025-07-07 04:25:53,2053356558909423852,96.0,126.93426015667924,2018540.0
2025-07-07 04:25:36.000,2025-07-07 04:26:58,2053356831559909612,96.0,126.0,2018730.0
2025-07-07 04:27:37.000,2025-07-07 04:29:02,2053357355000660204,96.0,126.94907616043264,2019120.0
2025-07-07 04:30:38.000,2025-07-07 04:31:57,2053358087867203820,95.0,126.0,2019660.0
2025-07-07 04:35:39.000,2025-07-07 04:38:24,2053359709917905132,95.0,125.0,2020480.0
2025-07-07 04:54:45.000,2025-07-07 04:55:06,2053363912564375788,93.0,53.84691364121813,2023040.0
2025-07-07 04:55:46.000,2025-07-07 04:56:07,2053364167506772204,93.0,25.0,2023080.0
2025-07-07 05:16:55.000,2025-07-07 05:17:59,2053369671121387756,93.0,0.0,2023190.0
2025-07-07 05:43:09.000,2025-07-07 05:43:48,2053376167343423724,91.0,84.0,2023590.0
2025-07-07 06:23:21.000,2025-07-07 06:24:28,2053386403508682988,84.0,126.0,2030340.0
2025-07-07 06:33:24.000,2025-07-07 06:34:36,2053388951619633388,81.0,126.0,2031800.0
2025-07-07 06:43:27.000,2025-07-07 06:44:43,2053391497054683372,80.0,0.0,2033240.0
2025-07-07 07:32:15.000,2025-07-07 07:33:05,2053403671961649388,76.0,126.0,2035640.0
2025-07-07 07:37:17.000,2025-07-07 07:38:09,2053404945041899756,75.0,125.0,2036390.0
2025-07-07 07:47:20.000,2025-07-07 07:48:15,2053407487985516780,73.0,126.0,2037900.0
2025-07-07 07:57:23.000,2025-07-07 07:58:21,2053410031163982060,70.0,126.0,2039520.0
2025-07-07 08:07:26.000,2025-07-07 08:08:27,2053412570395590892,67.0,125.0,2041140.0
2025-07-07 08:12:27.000,2025-07-07 08:13:32,2053413848764973292,67.0,107.0,2041790.0
2025-07-07 08:17:29.000,2025-07-07 08:18:35,2053415122520522988,66.0,124.0,2042630.0
2025-07-07 08:18:29.000,2025-07-07 08:19:36,2053415377840373996,66.0,108.94948360053586,2042780.0
2025-07-07 08:21:30.000,2025-07-07 08:22:39,2053416146299781356,65.0,96.64479248334744,2043220.0
2025-07-07 08:24:31.000,2025-07-07 08:25:41,2053416906961993964,65.0,66.84980893528493,2043490.0
2025-07-07 08:32:33.000,2025-07-07 08:33:47,2053418947016933612,64.0,88.0,2044260.0
2025-07-07 08:37:35.000,2025-07-07 08:38:52,2053420224761364716,64.0,71.0,2044460.0
2025-07-07 08:42:37.000,2025-07-07 08:43:56,2053421501880729836,62.0,72.0,2044830.0
2025-07-07 08:47:38.000,2025-07-07 08:47:59,2053422521914704108,62.0,8.0,2044910.0
2025-07-07 08:51:39.000,2025-07-07 08:52:01,2053423536533586156,62.0,42.09967466525091,2045040.0
