time,received_at,cloud_event_id,TRACKS.MUNIC.MDI_CC_DASHBOARD_FUEL_LEVEL_PERCENT (%),TRACKS.MUNIC.MDI_DASHBOARD_FUEL (l),speed_kmh,fuel_value
2025-07-01 04:28:44.000,2025-07-01 04:29:48,2051183217318609158,,,81.0,3309320.0
2025-07-01 05:39:13.000,2025-07-01 05:41:55,2051201369437143302,,,21.1794773654676,3310330.0
2025-07-01 15:18:41.000,2025-07-01 15:19:29,2051346717294772486,,,7.0,3310960.0
2025-07-01 15:19:42.000,2025-07-01 15:20:30,2051346974335041798,,,0.0,3311000.0
2025-07-01 15:25:43.000,2025-07-01 15:26:36,2051348508539896070,,,112.0,3311330.0
2025-07-01 15:43:51.000,2025-07-01 15:44:59,2051353133099024646,,,106.0,3314680.0
2025-07-01 17:47:18.000,2025-07-01 17:47:50,2051384049423679750,,,16.0,3316060.0
2025-07-02 03:40:31.000,2025-07-02 03:41:42,2051533503098880262,,,45.25733546519166,3316930.0
2025-07-02 03:44:32.000,2025-07-02 03:45:48,2051534532993089798,,,68.0,3317350.0
2025-07-02 04:01:37.000,2025-07-02 04:02:00,2051538612579336454,,,31.0,3321020.0
2025-07-02 04:02:38.000,2025-07-02 04:03:02,2051538868826161414,,,30.545043738077744,3321100.0
2025-07-02 04:07:39.000,2025-07-02 04:08:06,2051540146502779142,,,88.0,3321410.0
2025-07-02 04:13:40.000,2025-07-02 04:14:49,2051541834450141446,,,32.0,3321600.0
2025-07-02 09:44:35.000,2025-07-02 09:45:01,2051624934861881606,,,31.0,3321970.0
2025-07-02 10:19:47.000,2025-07-02 10:20:49,2051633943463264518,,,69.0,3326080.0
2025-07-03 04:08:29.000,2025-07-03 04:09:38,2051902919985185030,,,63.0,3326750.0
2025-07-03 04:21:35.000,2025-07-03 04:22:51,2051906246717473030,,,127.0,3328740.0
2025-07-03 05:22:13.000,2025-07-03 05:23:16,2051921448997699846,,,66.0,3331190.0
2025-07-03 15:30:15.000,2025-07-03 15:31:24,2052074493463118086,,,81.0,3332330.0
2025-07-03 15:36:18.000,2025-07-03 15:37:14,2052075960953520390,,,139.0,3333270.0
2025-07-03 15:48:22.000,2025-07-03 15:49:25,2052079024024322310,,,129.0,3335490.0
2025-07-03 15:54:23.000,2025-07-03 15:54:57,2052080416920518918,,,44.229475204800394,3335980.0
2025-07-04 04:11:53.000,2025-07-04 04:13:00,2052266155662213382,,,17.0,3336630.0
2025-07-04 04:23:57.000,2025-07-04 04:25:23,2052269270695411974,,,119.0,3338100.0
2025-07-04 04:36:01.002,2025-07-04 04:36:23,2052272040823800070,,,31.0,3340090.0
2025-07-04 05:10:27.000,2025-07-04 05:11:37,2052280906420568326,,,46.14259168945656,3340460.0
2025-07-04 05:16:30.000,2025-07-04 05:17:13,2052282314796531974,,,11.0,3340620.0
2025-07-04 09:41:04.000,2025-07-04 09:42:06,2052348974883160326,,,87.0,3341060.0
2025-07-04 10:43:31.000,2025-07-04 10:43:58,2052364546492154118,,,151.0,3343020.0
2025-07-04 10:56:36.000,2025-07-04 10:57:12,2052367873737818374,,,65.0,3345430.0
2025-07-04 14:04:47.000,2025-07-04 14:06:06,2052415412456407302,,,138.0,3346120.0
2025-07-04 14:10:49.000,2025-07-04 14:11:11,2052416690842845446,,,150.0,3347380.0
2025-07-04 14:16:52.000,2025-07-04 14:17:35,2052418301028270342,,,143.0,3349000.0
