time,received_at,cloud_event_id,TRACKS.MUNIC.MDI_CC_DASHBOARD_FUEL_LEVEL_PERCENT (%),TRACKS.MUNIC.MDI_DASHBOARD_FUEL (l),TRACKS.MUNIC.MDI_DASHBOARD_FUEL_LEVEL (%),speed_kmh,fuel_value
2025-07-03 15:06:37.002,2025-07-03 15:07:29,2052068471680205062,,,54.0,33.0,354780.0
2025-07-03 15:31:59.000,2025-07-03 15:33:13,2052074947232137478,,,54.0,38.0,54.0
2025-07-10 14:52:20.000,2025-07-10 14:53:24,2054601642669539590,,,54.0,0.0,356840.0
2025-07-12 09:48:15.000,2025-07-12 09:49:00,2055249816317329670,,,54.0,49.0,357900.0
2025-07-12 10:33:56.000,2025-07-12 10:35:07,2055261418432823558,,,54.0,23.05740584120948,358770.0
2025-07-12 10:40:59.000,2025-07-12 10:42:12,2055263203184607494,,,54.0,24.0,358960.0
2025-07-18 07:13:16.000,2025-07-18 07:14:19,2057385215931711750,,,54.0,0.0,358960.0
2025-07-18 07:18:18.000,2025-07-18 07:18:55,2057386370032468230,,,54.0,64.0,359060.0
2025-07-21 09:28:12.000,2025-07-21 09:29:08,2058506303860424966,,,54.0,0.0,359270.0
2025-07-23 17:38:13.000,2025-07-23 17:39:17,2059354433682440454,,,54.0,0.0,359770.0
2025-07-24 08:25:18.000,2025-07-24 08:26:28,2059577700552540422,,,54.0,20.10161309240865,54.0
2025-07-29 05:51:16.000,2025-07-29 05:52:10,2061350807479009542,,,54.0,0.0,360490.0
2025-07-29 06:01:23.000,2025-07-29 06:02:20,2061353366848176390,,,54.0,89.0,361900.0
2025-07-29 06:19:33.000,2025-07-29 06:20:36,2061357962772906246,,,54.0,15.000000000000002,54.0
2025-07-29 06:26:36.000,2025-07-29 06:27:43,2061359753069609222,,,54.0,64.0,363080.0
2025-07-29 06:35:42.000,2025-07-29 06:36:52,2061362055201685766,,,54.0,49.0,54.0
2025-07-29 06:44:47.000,2025-07-29 06:45:57,2061364343240556806,,,54.0,35.0,363790.0
2025-07-29 06:52:53.000,2025-07-29 06:53:25,2061366222319419654,,,54.0,18.84595677430905,364040.0
2025-07-29 09:57:37.000,2025-07-29 09:58:47,2061412869206999302,,,54.0,13.51775142449703,54.0
2025-07-29 16:13:54.000,2025-07-29 16:15:02,2061507556613914886,,,54.0,23.0,365480.0
2025-07-29 16:21:59.000,2025-07-29 16:23:10,2061509602888925446,,,54.0,27.0,54.0
2025-07-29 16:29:02.000,2025-07-29 16:30:15,2061511387267481862,,,54.0,75.0,366020.0
2025-07-29 16:30:03.000,2025-07-29 16:31:16,2061511642499252486,,,54.0,51.55043305944304,54.0
2025-07-29 16:47:13.001,2025-07-29 16:48:33,2061515993141805318,,,54.0,36.0,54.0
2025-07-29 16:56:18.000,2025-07-29 16:56:41,2061518039308681478,,,54.0,38.0,54.0
2025-07-29 17:11:25.000,2025-07-29 17:11:56,2061521875544441094,,,54.0,45.0,54.0
2025-07-29 17:18:28.000,2025-07-29 17:19:04,2061523669419294982,,,54.0,27.0,367860.0
2025-07-31 12:44:31.000,2025-07-31 12:45:17,2062179545909969158,,,54.0,20.116429096162037,54.0
2025-07-31 12:59:35.000,2025-07-31 13:00:12,2062183302148178182,,,54.0,14.632655706939447,54.0
2025-07-31 13:20:40.000,2025-07-31 13:21:36,2062188685729808646,,,54.0,35.34357695370616,54.0
2025-07-31 13:26:42.000,2025-07-31 13:27:04,2062190062120091910,,,54.0,0.0,54.0
2025-08-14 12:06:32.000,2025-08-14 12:07:38,2067243501351256326,,,54.0,54.741429867828906,54.0
2025-08-14 13:56:27.000,2025-08-14 13:57:32,2067271158343942406,,,54.0,4.34479310068092,54.0
2025-08-16 17:15:16.000,2025-08-16 17:16:11,2068045928807317766,,,54.0,0.0,369870.0
2025-08-16 17:31:27.000,2025-08-16 17:32:27,2068050019012886790,,,54.0,43.0,371520.0
2025-08-16 17:39:32.000,2025-08-16 17:40:34,2068052063232753926,,,54.0,69.0,371840.0
