time,received_at,cloud_event_id,TRACKS.MUNIC.MDI_CC_DASHBOARD_FUEL_LEVEL_PERCENT (%),TRACKS.MUNIC.MDI_DASHBOARD_FUEL_LEVEL (%),speed_kmh,fuel_value
2025-07-01 03:32:45.000,2025-07-01 03:33:36,2051169074997706984,,71.0,18.190348608221647,1764510.0
2025-07-01 03:37:47.000,2025-07-01 03:39:15,2051170498029584616,,71.0,45.33326748442777,1764690.0
2025-07-01 03:43:49.000,2025-07-01 03:44:19,2051171774074421480,,71.0,42.0,1765160.0
2025-07-01 03:54:52.000,2025-07-01 03:55:27,2051174574216839400,,70.0,58.0,70.0
2025-07-01 08:14:18.000,2025-07-01 08:14:54,2051239867966521576,,68.0,54.0,1766850.0
2025-07-01 08:26:22.000,2025-07-01 08:27:15,2051242974226252008,,68.0,12.973263286560034,1766990.0
2025-07-01 08:44:44.000,2025-07-01 08:51:04,2051248967472169192,,68.0,74.0,1767480.0
2025-07-01 08:46:45.000,2025-07-01 08:51:04,2051248967472562408,,67.0,22.62218573095372,1767610.0
2025-07-01 10:58:26.000,2025-07-01 10:59:28,2051281283148955880,,68.0,0.0,1767810.0
2025-07-01 16:11:44.000,2025-07-01 16:12:06,2051359959974969576,,66.0,33.75826455209369,1768790.0
2025-07-01 16:14:45.000,2025-07-01 16:15:10,2051360729684115688,,66.0,28.28375116521697,1769020.0
2025-07-01 16:16:45.000,2025-07-01 16:17:11,2051361235785728232,,66.0,57.0,1769100.0
2025-07-01 16:22:48.000,2025-07-01 16:23:16,2051362770095636712,,66.0,43.0,1769290.0
2025-07-01 16:27:48.000,2025-07-01 16:28:20,2051364043150901480,,65.0,52.0,1769740.0
2025-07-01 16:28:49.000,2025-07-01 16:29:21,2051364299208868072,,65.0,22.542549710779262,1769850.0
2025-07-02 03:37:09.000,2025-07-02 03:37:54,2051532546122088680,,65.0,45.74996758999179,1770130.0
2025-07-02 05:15:56.000,2025-07-02 05:16:50,2051557441035911400,,63.0,51.0,1771720.0
2025-07-02 05:20:58.000,2025-07-02 05:21:54,2051558716242739432,,62.0,82.0,1772160.0
2025-07-02 05:23:58.000,2025-07-02 05:24:56,2051559483175370984,,62.0,44.857303363850185,1772320.0
2025-07-02 05:27:00.000,2025-07-02 05:27:58,2051560242931908840,,62.0,0.8352522115972271,1772470.0
2025-07-02 05:32:01.000,2025-07-02 05:33:01,2051561516066521320,,62.0,39.0,1772910.0
2025-07-02 05:48:06.000,2025-07-02 05:49:02,2051565546238935272,,61.0,80.0,1773440.0
2025-07-02 05:54:09.000,2025-07-02 05:55:07,2051567076103225576,,61.0,4.0,1773860.0
2025-07-02 06:01:10.000,2025-07-02 06:02:13,2051568863799279848,,62.0,47.07970392685833,1773970.0
2025-07-02 06:05:12.000,2025-07-02 06:06:16,2051569882524418280,,61.0,70.0,1774280.0
2025-07-02 06:10:13.000,2025-07-02 06:11:20,2051571157341192424,,60.0,54.0,1774710.0
2025-07-02 15:47:08.000,2025-07-02 15:48:13,2051716333892092136,,60.0,0.0,1775050.0
2025-07-02 16:03:13.000,2025-07-02 16:03:55,2051720288193986792,,59.0,25.0,59.0
2025-07-02 16:32:51.000,2025-07-02 16:33:36,2051727756408193256,,57.99999999999999,81.0,1776660.0
2025-07-03 03:37:58.000,2025-07-03 03:38:41,2051895131221606632,,56.99999999999999,107.0,1777510.0
2025-07-03 03:42:58.000,2025-07-03 03:43:45,2051896406083551464,,56.99999999999999,13.0,56.99999999999999
2025-07-03 03:59:04.000,2025-07-03 03:59:54,2051900471311892712,,56.00000000000001,10.0,1778820.0
2025-07-03 10:38:20.000,2025-07-03 10:39:12,2052000958350704872,,54.0,21.0,1779140.0
2025-07-03 11:30:34.000,2025-07-03 11:31:00,2052013993316647144,,46.0,103.0,1787370.0
2025-07-03 11:57:41.000,2025-07-03 11:58:23,2052020884738228456,,43.0,76.0,1789590.0
2025-07-03 12:13:46.000,2025-07-03 12:14:40,2052024982430613736,,42.0,83.0,1790620.0
2025-07-03 12:18:46.000,2025-07-03 12:19:45,2052026262548988136,,42.0,63.0,1790930.0
2025-07-03 12:29:49.000,2025-07-03 12:30:58,2052029083453309160,,41.0,47.0,1791400.0
2025-07-03 12:46:55.000,2025-07-03 12:48:00,2052033370061357288,,39.0,49.0,1793100.0
2025-07-03 12:51:56.000,2025-07-03 12:53:20,2052034712981045480,,39.0,96.0,1793600.0
2025-07-03 12:57:59.000,2025-07-03 12:59:08,2052036171810275560,,38.0,85.0,1794150.0
2025-07-03 16:48:12.000,2025-07-03 16:49:18,2052094096582918376,,38.0,0.0,1794950.0
