time,received_at,cloud_event_id,TRACKS.MUNIC.MDI_CC_DASHBOARD_FUEL_LEVEL_PERCENT (%),TRACKS.MUNIC.MDI_DASHBOARD_FUEL_LEVEL (%),speed_kmh,fuel_value
2025-07-01 06:41:42.000,2025-07-01 06:42:51,2051216703236358372,,96.0,95.0,2942210.0
2025-07-01 06:46:43.000,2025-07-01 06:47:57,2051217984290078948,,96.0,38.0,2942580.0
2025-07-01 06:51:44.000,2025-07-01 06:53:01,2051219261724066020,,96.0,41.0,2942900.0
2025-07-01 06:56:45.000,2025-07-01 06:58:05,2051220534208757988,,96.0,139.0,2943530.0
2025-07-01 07:03:46.000,2025-07-01 07:04:11,2051222068967653604,,95.0,114.3814009766216,95.0
2025-07-01 07:06:47.000,2025-07-01 07:07:14,2051222837024440548,,83.0,128.0,2945060.0
2025-07-01 07:11:48.000,2025-07-01 07:12:18,2051224113745395940,,83.0,132.0,83.0
2025-07-01 07:16:49.000,2025-07-01 07:17:22,2051225386406346980,,96.0,25.0,2946560.0
2025-07-01 07:56:51.000,2025-07-01 07:57:33,2051235498969825508,,96.0,46.725971837246206,2946700.0
2025-07-01 11:55:42.000,2025-07-01 11:56:11,2051295555426091236,,96.0,28.678227265150905,2947430.0
2025-07-01 11:58:43.000,2025-07-01 11:59:14,2051296320538444004,,94.0,85.0,2947710.0
2025-07-01 12:03:44.000,2025-07-01 12:04:19,2051297599717245156,,94.0,29.0,2947920.0
2025-07-01 12:08:45.000,2025-07-01 12:09:24,2051298880053739748,,96.0,66.0,2948210.0
2025-07-01 12:18:48.000,2025-07-01 12:19:31,2051301428705689828,,96.0,0.0,2948810.0
2025-07-01 12:49:52.000,2025-07-01 12:50:22,2051309192593162468,,83.0,0.0,83.0
2025-07-01 12:58:54.000,2025-07-01 12:59:33,2051311500328583396,,88.0,26.87067480723762,2950540.0
2025-07-01 13:35:04.000,2025-07-01 13:36:01,2051320680594587876,,79.0,136.0,79.0
2025-07-01 13:40:05.000,2025-07-01 13:41:06,2051321958716473572,,83.0,110.0,2953170.0
2025-07-01 13:45:06.000,2025-07-01 13:46:11,2051323237920473316,,69.0,114.0,2953650.0
2025-07-01 13:49:07.000,2025-07-01 13:50:14,2051324257769734372,,77.0,112.89794860081366,2954330.0
2025-07-01 13:50:07.000,2025-07-01 13:51:16,2051324516742791396,,96.0,46.08703167538137,2954400.0
