time,received_at,cloud_event_id,TRACKS.MUNIC.MDI_CC_DASHBOARD_FUEL_LEVEL_PERCENT (%),speed_kmh,fuel_value
2025-07-01 06:00:44.000,2025-07-01 06:01:24,2051206271360860396,,77.0,533660.0
2025-07-01 06:04:46.000,2025-07-01 06:05:29,2051207299171205356,,30.189459647996443,533780.0
2025-07-01 06:14:22.000,2025-07-01 06:15:25,2051209799869169900,,0.0,533780.0
2025-07-01 11:04:27.000,2025-07-01 11:04:50,2051282633132179692,,105.0,534510.0
2025-07-01 11:16:31.000,2025-07-01 11:17:04,2051285712887988460,,118.0,535480.0
2025-07-01 11:57:44.000,2025-07-01 11:59:04,2051296279463461100,,129.7030008580936,540170.0
2025-07-01 12:00:44.003,2025-07-01 12:01:06,2051296791512924396,,127.0,540550.0
2025-07-01 12:04:46.000,2025-07-01 12:05:10,2051297814168223980,,40.58103428052869,540870.0
2025-07-01 12:07:48.000,2025-07-01 12:08:12,2051298578944884972,,57.0,540990.0
2025-07-01 12:39:21.000,2025-07-01 12:40:23,2051306679630348524,,44.26836721465303,541290.0
2025-07-01 12:58:27.000,2025-07-01 13:00:24,2051311714032533740,,113.0,542930.0
2025-07-01 13:17:34.000,2025-07-01 13:18:51,2051316359203127532,,15.000000000000002,544150.0
2025-07-01 13:24:37.000,2025-07-01 13:25:57,2051318145091633388,,48.0,544560.0
2025-07-01 14:29:49.000,2025-07-01 14:30:46,2051334455129751788,,39.91987011303376,544670.0
2025-07-01 14:35:52.000,2025-07-01 14:36:51,2051335987057115372,,37.0,544780.0
2025-07-01 14:57:02.000,2025-07-01 14:58:10,2051341352460910828,,58.0,545610.0
2025-07-01 15:25:08.000,2025-07-01 15:26:29,2051348477127950572,,133.98667794329177,548190.0
2025-07-01 15:56:20.000,2025-07-01 15:56:53,2051356129107411180,,105.23066665843557,551740.0
2025-07-01 16:03:23.000,2025-07-01 16:03:58,2051357913439666412,,108.0,552650.0
2025-07-01 16:14:25.000,2025-07-01 16:15:06,2051360715385782508,,65.0,553510.0
2025-07-01 16:25:29.000,2025-07-01 16:26:26,2051363564865978604,,53.0,554270.0
2025-07-01 16:28:30.000,2025-07-01 16:29:34,2051364353542258924,,93.67418373079322,554350.0
2025-07-01 16:31:31.000,2025-07-01 16:32:30,2051365093895192812,,98.45234494126072,554520.0
2025-07-01 16:48:38.000,2025-07-01 16:49:43,2051369424359342316,,0.6667201689024429,555640.0
2025-07-01 16:55:40.000,2025-07-01 16:56:30,2051371131159740652,,79.0,556040.0
2025-07-01 17:07:44.000,2025-07-01 17:08:44,2051374209829191916,,58.0,556460.0
2025-07-01 17:11:45.000,2025-07-01 17:12:48,2051375232236699884,,37.290029446807466,556690.0
2025-07-01 17:18:49.000,2025-07-01 17:19:57,2051377034034151660,,23.703754004951016,556940.0
2025-07-02 04:42:42.000,2025-07-02 04:43:37,2051549084468691180,,71.0,557130.0
2025-07-02 04:49:44.000,2025-07-02 04:50:42,2051550867768787180,,84.44010939149439,557420.0
2025-07-02 04:54:46.000,2025-07-02 04:55:47,2051552145127473388,,69.0,557640.0
2025-07-02 05:06:50.000,2025-07-02 05:07:58,2051555213151600876,,17.686604480606473,558280.0
2025-07-02 05:10:52.000,2025-07-02 05:12:20,2051556312092836076,,71.47610610728022,558470.0
2025-07-02 05:13:54.000,2025-07-02 05:15:04,2051556998675398892,,89.0,558630.0
2025-07-02 05:26:59.000,2025-07-02 05:28:17,2051560325613879532,,52.0,559290.0
2025-07-02 05:39:03.000,2025-07-02 05:39:27,2051563134040342764,,63.0,559840.0
2025-07-02 05:47:08.000,2025-07-02 05:47:36,2051565185592017132,,33.0,560150.0
2025-07-02 05:48:08.000,2025-07-02 05:48:37,2051565441012383980,,13.088087315648789,560170.0
2025-07-02 15:17:21.000,2025-07-02 15:18:08,2051708766831329516,,37.22150542944805,560810.0
2025-07-02 15:22:21.003,2025-07-02 15:23:08,2051710024836923628,,16.0,561070.0
2025-07-03 06:38:45.000,2025-07-03 06:39:49,2051940712961835244,,47.0,561450.0
