avg_speed_kmh,max_speed_kmh,min_speed_kmh,speed_std,speed_median,avg_speed_squared,avg_acceleration,avg_deceleration,num_accelerations,num_decelerations,duration_min,fuel_consumed_ml,file
60.87013413762855,91.0,44.39800724749517,16.254671914945543,82.5,3705.1732299328924,0.22662960437415908,0.06289952697967055,0,0,22.1,1250.0,863609060687732_cleaned.csv
61.63491387987492,66.19234876872835,44.66654731552532,5.357541628130584,58.0,3798.8626089795985,0.029024617104382276,0.0841382256303698,0,0,18.1,810.0,863609060687732_cleaned.csv
37.518337929537246,94.79279201417398,8.004346027767662,8.930070462135726,39.0,1407.6256809949532,0.04706826205118617,0.4742538032044061,0,0,16.15,670.0,863609060687732_cleaned.csv
84.74809505454654,100.63585349441622,66.0,11.8914079333988,93.03987357010132,7182.239615374456,0.09704247625629776,0.04327021153450735,0,0,32.15,1890.0,863609060687732_cleaned.csv
59.2512995454186,82.0,26.337298672115665,15.715951937158462,48.36128825152636,3510.716497820922,0.08921737471555607,0.38965704037978355,0,0,21.133333333333333,1370.0,863609060687732_cleaned.csv
98.49064436214114,140.0,46.0703636711588,35.39678252449158,94.0,9700.407026869765,0.17992804817260946,0.18403247942696352,0,1,16.083333333333332,1920.0,863609060687732_cleaned.csv
74.98631327924068,92.77966750418244,43.0,17.677094394377193,85.5,5622.947179212427,0.06980047916930861,0.0966522055871538,0,0,30.116666666666667,1430.0,863609060687732_cleaned.csv
70.19928051139284,92.0,44.0,18.008696369850718,72.9986603863273,4927.938984317219,0.3666220128775766,0.05274854617381658,0,0,23.116666666666667,1210.0,863609060687732_cleaned.csv
70.73297850423502,93.6964077364233,21.0,27.34741926033536,59.74256267478255,5003.154248080574,0.14609316408209141,0.22833533167415176,0,1,12.083333333333334,720.0,863609060687732_cleaned.csv
63.32460491893475,89.0,11.847247001302575,23.508931431794842,53.0,4010.0055881391754,0.10497237569060773,0.09815871882785931,0,0,19.133333333333333,720.0,863609060687732_cleaned.csv
80.21566643146468,125.36191175835098,46.0,31.33028499863751,77.0,6434.55314104401,0.12199979039988357,0.11916202966719366,0,0,18.116666666666667,1210.0,863609060687732_cleaned.csv
47.792639319502285,88.80712649780538,26.215066641150216,24.82798352145639,66.00188286714366,2284.136373124036,0.030787790713480954,0.12953362493750917,0,0,19.15,950.0,863609060687732_cleaned.csv
85.4069101333424,137.0,56.0,24.009093691299903,82.25660083833888,7294.340298524823,0.06080261072163569,0.07177713860238995,0,0,33.15,2120.0,863609060687732_cleaned.csv
83.75,131.0,40.0,35.77970793620317,73.92815472846587,7014.0625,0.22425249169435216,0.1294487620074184,0,0,20.066666666666666,2250.0,863609060621509_cleaned.csv
